fair_majority,fair_minority1,fair_minority2,run,num_iter,row_clus,col_clus,tau_x,tau_y,NMI_true_labels,AMI_true_labels,ARI_true_labels,NMI_rows,AMI_rows,ARI_rows,NMI_cols,AMI_cols,ARI_cols,balance_chierichetti,balance_bera,KL_fairness_error,time
0.0,0.1,1.0,7.0,178.0,2.0,2.0,0.1178090718279301,0.11780907182793,0.1219516021753785,0.1202443806259847,0.1044647135124425,0.7107464475134464,0.7107117789495616,0.8004569947564076,0.8056626287027439,0.805624760762661,0.8817225400037915,0.2092689918776875,0.7937550646430638,0.0269197880777061,101.95546078681946
0.0,0.2,0.0,6.0,275.0,2.0,2.0,0.1200239162535829,0.1200239162535831,0.1171564430282274,0.1154396634231004,0.1040864308415253,0.9720821653102542,0.9720788269026768,0.9887715369930236,0.9754103008349282,0.9754055076794216,0.9903069895832424,0.1187236039418113,0.558038779188833,0.0690173875653659,111.23348784446716
0.0,0.2,0.1,4.0,172.0,2.0,2.0,0.1199563360217927,0.1199563360217926,0.115891607107754,0.1141724494451525,0.1021367509414587,0.8884200221722509,0.8884066808348895,0.9412756972683496,0.9023469884816936,0.902327955760866,0.9499012544620402,0.1205103969754253,0.5647989650119473,0.0660786432284316,40.60157895088196
0.0,0.2,0.2,0.0,113.0,2.0,2.0,0.1200778672673203,0.1200778672673203,0.1228534333132372,0.1211472827085259,0.1125201129055819,0.9415404112547509,0.9415334211241672,0.9730275024756684,0.8786386347312772,0.8786149622724122,0.9320972463349776,0.11875589066918,0.5572592195559148,0.0677979757073768,36.325894594192505
0.0,0.2,0.3,2.0,116.0,2.0,2.0,0.1199998626614988,0.119999862661499,0.1162737287517444,0.1145546448015587,0.1066629173076573,0.9679252559772004,0.9679214204550776,0.9867966229409034,0.9014329016355,0.9014136714829494,0.9435981645848728,0.1159420289855072,0.5468354134632374,0.0723336399436965,48.12241220474243
0.0,0.2,0.4,7.0,153.0,2.0,2.0,0.1200582110604148,0.1200582110604148,0.1143580016650474,0.1126357435758119,0.1013951795366533,0.9003989656859145,0.9003870549072721,0.9490029377574252,0.8984910187461975,0.89847123098932,0.947797918475807,0.1155100139729855,0.5461368054613681,0.074084550819733,69.44270086288452
0.0,0.2,0.5,5.0,194.0,2.0,2.0,0.119994265946541,0.1199942659465412,0.1089175578235799,0.1071845845171061,0.0973247771458841,0.8994569792725617,0.8994449553055633,0.9483577856076144,0.8748337093289705,0.8748093049961667,0.9320973194666624,0.1173184357541899,0.5540606653620352,0.0727470884620239,74.39167404174805
0.0,0.2,0.6,6.0,173.0,2.0,2.0,0.1199490003345338,0.1199490003345338,0.1140854518355576,0.1123626445659875,0.1011623441587384,0.9285964535595408,0.9285879146227088,0.9658536928256412,0.94573748339626,0.9457269053740444,0.9753227723886556,0.1230624706434946,0.5765987929348356,0.0655442863660754,71.90498924255371
0.0,0.2,0.7,4.0,241.0,2.0,2.0,0.1198848943210161,0.119884894321016,0.1258649388105076,0.1241651669560338,0.1104082665856715,0.8436662336018503,0.8436475299951371,0.910050326622954,0.8558813352404256,0.8558532459763762,0.9196313240054952,0.1447492904446546,0.664733148613305,0.0489285259779443,153.76196789741516
0.0,0.2,0.8,3.0,130.0,2.0,2.0,0.1194938850181839,0.119493885018184,0.1182168416414858,0.116502234019288,0.1034880837586612,0.8218260063687064,0.8218046760347416,0.8911925064728875,0.8763728055779756,0.8763487114846699,0.9331400177480542,0.165016501650165,0.749454040103236,0.0409371608040341,68.3980610370636
0.0,0.2,0.9,3.0,89.0,2.0,2.0,0.1188976813129872,0.1188976813129871,0.1107818511904294,0.1090527863956518,0.0976146608846722,0.7876713789972675,0.7876459380551537,0.8614304963650925,0.8669381885258544,0.8669122556903155,0.9268930058251637,0.1855864342910975,0.7963380010687969,0.0342112491864828,50.938308238983154
0.0,0.2,1.0,9.0,220.0,2.0,2.0,0.1180537057701413,0.1180537057701414,0.1185132377895468,0.1167992511302077,0.1041867472749177,0.7547524725687418,0.7547230601885061,0.8315694927348354,0.8568768847806016,0.8568489929370031,0.9196313489091378,0.2067012741859367,0.7891357465067589,0.0292274270033922,98.57175254821776
0.0,0.3,0.0,6.0,82.0,2.0,2.0,0.1200105312295471,0.1200105312295473,0.1153252212968069,0.1136049470996791,0.101820660405528,0.8934403911564415,0.89342764999755,0.9444915507010694,0.9021788169035048,0.9021597509720196,0.949901251551294,0.1198113207547169,0.5624034042752865,0.0672665770723107,38.09225344657898
0.0,0.3,0.1,7.0,91.0,2.0,2.0,0.1201487595432299,0.1201487595432299,0.1132676531321986,0.1115433024210682,0.1007794520157084,0.921860684547939,0.921851340100611,0.9619518968963992,0.9246748742780452,0.9246601913057402,0.9636295793631144,0.1172349369453526,0.5523904466665793,0.071392414074979,48.215984582901
0.0,0.3,0.2,3.0,149.0,2.0,2.0,0.1201290668018762,0.1201290668018761,0.1171852973659031,0.1154686081299646,0.1047590221476721,0.9120683321564872,0.912057817825116,0.9561140219806228,0.9158214349080732,0.9158050272160428,0.9583378019183434,0.1213982050070855,0.5679516450064396,0.0650356825496137,50.93300652503967
0.0,0.3,0.3,1.0,94.0,2.0,2.0,0.1201515132979299,0.1201515132979299,0.1157310986938792,0.1140115648005762,0.1029155315872788,0.9024647936570116,0.9024531305193716,0.9502938937207468,0.8951526730383116,0.8951322361712462,0.9456969468876676,0.1217555450684285,0.5692493150684931,0.0647357949073017,45.412861347198486
0.0,0.3,0.4,8.0,78.0,2.0,2.0,0.1200948474052379,0.1200948474052379,0.1164509804131773,0.1147328548907418,0.1027430817741293,0.994323951222332,0.994323272458615,0.9980139004939872,0.9888765604074534,0.9888743922514766,0.99568616944655,0.1184456928838951,0.5573256305892308,0.0698957717594735,44.969263553619385
